Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE2,SF_ID,SUPPLIER
C1,1uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C2,100nF,C-EUC0805,C0805,CAPACITOR,,,,,,,
C3,100nF,C-EUC0805,C0805,CAPACITOR,,,,,,,
C4,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C5,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C6,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C7,100nF,C-EUC0805,C0805,CAPACITOR,,,,,,,
C8,10nF 16V X7R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C9,4.7nF 50V C0G,C-EUC0805,C0805,CAPACITOR,,,,,,,
C10,220nF,C-EUC0805,C0805,CAPACITOR,,,,,,,
C11,,C-EUC0805,C0805,CAPACITOR,,,,,,,
C12,,C-EUC0805,C0805,CAPACITOR,,,,,,,
C13,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C14,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C15,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C16,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C17,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C18,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C19,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C20,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C21,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C22,4.7uF 25V X5R,C-EUC0805,C0805,CAPACITOR,,,,,,,
C23,47uF (EEEFK1V470P),CPOL-EUD,PANASONIC_D,POLARIZED CAPACITOR,,,,,,,
C24,47uF (EEEFK1V470P),CPOL-EUD,PANASONIC_D,POLARIZED CAPACITOR,,,,,,,
C25,100nF,C-EUC0805,C0805,CAPACITOR,,,,,,,
C26,3.3nF / 2.2nF,C-EUC0805,C0805,CAPACITOR,,,,,,,
C27,100nF,C-EUC0805,C0805,CAPACITOR,,,,,,,
C28,,C-EUC0805,C0805,CAPACITOR,,,,,,,
C29,,C-EUC0805,C0805,CAPACITOR,,,,,,,
C30,100nF,C-EUC0805,C0805,CAPACITOR,,,,,,,
C31,,C-EUC0805,C0805,CAPACITOR,,,,,,,
D1,SMAJ12CA,TVS_BISMA,SMA_NOPOL,Collection of bidirectional TVS diodes,,,,,,,
D2,Schottky 1A 20V,DIODE-SOD323-R,SOD323-R,DIODE,,PMEG4010BEA,,,,,
D3,Schottky 1A 20V,DIODE-SOD323-R,SOD323-R,DIODE,,PMEG4010BEA,,,,,
F1,0.5AT,FUSE_PTC-0805,PTC0805,Resettable PTC,,,,,,,
H1,PCB_HAMMOND_1591XXL,PCB_HAMMOND_1591XXL,HMD_MFG_1591XXL,Multiple PCB formats from Hammond MFG cases,,,,,,,
IC1,TL074D,TL074D,SO14,OP AMP,,,,,,,
J1,,CONN_02POLAR,MOLEX-1X2,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,TMK212AB7475KG-T,,,,PRT-09918,
L1,3.3uH (SRN3015),INDUCTOR_VLS3015,VLS3015,Collection of SMD Inductors,,,,,,,
L2,3.3uH (SRN3015),INDUCTOR_VLS3015,VLS3015,Collection of SMD Inductors,,,,,,,
L3,3.3uH (SRN3015),INDUCTOR_VLS3015,VLS3015,Collection of SMD Inductors,,,,,,,
L4,3.3uH (SRN3015),INDUCTOR_VLS3015,VLS3015,Collection of SMD Inductors,,,,,,,
LED1,Green,LED3MM,LED3MM,LED,,,,,,,
LED2,Green,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,
LED3,Green,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,
P1,BANANA_SOCKETVERTICAL,BANANA_SOCKETVERTICAL,4,,,,,,,,
P2,BANANA_SOCKETVERTICAL,BANANA_SOCKETVERTICAL,4,,,,,,,,
Q1,PMV45EN,PMV45EN,SOT23,PMV45EN Logic Level Trenchmos,,,,,,,
R1,1k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R2,100,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R3,100k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R4,1000k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R5,1000k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R6,100k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R7,3.9k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R8,3.9k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R9,3.9k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R10,10k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R11,10k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R12,15 / 33,R-EU_R0805,R0805,RESISTOR,,,,,,,
R13,,R-EU_R0805,R0805,RESISTOR,,,,,,,
R14,100k,POT_MULTI,3386-MULTI,3/8 multi pot,,3386P-1-104LF,,,,,
R15,1.8M,R-EU_R0805,R0805,RESISTOR,,,,,,,
R16,1K,R-EU_R0805,R0805,RESISTOR,,,,,,,
R17,10k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R18,,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R19,,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
R20,10k,R-EU_R0805I,R0805I,RESISTOR,,,,,,,
